bank_code,participant,short_name,bic8,bic11,routing_no,status
003,Abu Dhabi Commercial Bank,ADCB,ADCBAEAA,ADCBAEAAXXX,600310101,Live
035,First Abu Dhabi Bank,FAB,NBADAEAA,NBADAEAAXXX,803510106,Live
033,Mashreq,Mashreq,BOMLAEAD,BOMLAEADXXX,203320101,Live
026,Emirates NBD,ENBD,EBILAEAD,EBILAEADXXX,202620103,Live
038,National Bank of Fujairah,NBF,NBFUAEAF,NBFUAEAFXXX,703820101,Live
019,Barclays,BARC,BARCAEAD,BARCAEADXXX,401920110,Live
081,Finance House,FH,FHOUAEAD,FHOUAEADXXX,208110101,Live
029,Habib Bank,HBZ,HBZUAEAD,HBZUAEADXXX,302920101,Live
215,Al Fardan Exchange,AFEX,FEXEAEAA,FEXEAEAAXXX,121510101,Live
413,Payby,Payby,E413AEXX,E413AEXXXXX,741310101,Live
267,Lari Exchange,Lari,LAEEAEAA,LAEEAEAAXXX,426710101,Live
206,Al Ansari Exchange,ALAN,ALANAEAA,ALANAEAAXXX,720610101,Live
120,Al Ain Finance,Al Ain Finance,E120AEAD,E120AEADXXX,212010101,Live
046,United Arab Bank,United Arab Bank,UARBAEAA,UARBAEAAXXX,904630101,Live
023,Commercial Bank of Dubai,Commercial Bank of Dubai,CBDUAEAD,CBDUAEADXXX,102320150,Live
034,Emirates Islamic,Emirates Islamic,MEBLAEAD,MEBLAEADXXX,703420114,Live
043,Industrial and Commercial Bank Of China,ICBC,ICBKAEAA,ICBKAEAAXXX,804310101,Live
012,Bank of Sharjah,BOS,SHARAEAS,SHARAEASXXX,401230101,Live
040,RAK Bank,RAK,NRAKAEAK,NRAKAEAKXXX,104060106,Live
018,BNP Paribas,BNPP,BNPAAEAA,BNPAAEAAXXX,401810101,Live
007,Arab African International Bank,AAIB,ARAIAEAD,ARAIAEADXXX,900720101,Live
021,Citibank N.A,Citi Bank,CITIAEAD,CITIAEADXXX,102120101,Live
020,HSBC Bank Middle East,HSBC,BBMEAEAD,BBMEAEADXXX,302020120,Live
235,Joyalukkas Exchange,JAEX,E235AEXX,E235AEXXXX,723510101,Live
041,Sharjah Islamic Bank,NBSH,NBSHAEAS,NBSHAEASXXX,404130101,Live
056,National Bank of Kuwait,NBOK,NBOKAEAD,NBOKAEADXXX,505620101,Live
057,Ajman Bank,Ajman Bank,AJMNAEAJ,AJMNAEAJXXX,805740101,Live
017,Al Khaliji France S.A,AKF,LICOAEAD,LICOAEADXXX,201720101,Live
097,Al Maryah Community Bank LLC,AMCB,E097AEXX,E097AEXXXXX,9710001,Live
004,Al Ahli Bank of Kuwait,ABKK,ABKKAEAD,ABKKAEADXXX,200420101,Live
048,Emirates Investment Bank,EIB,AEINAEAD,AEINAEADXXX,4820101,Live
301,GCC Exchange,GCC,E301AEXX,GCCEAEADXXX,930110101,Live
050,Abu Dhabi Islamic Bank PJSC,ADIB,ABDIAEAD,ABDIAEADXXX,405010101,Live
011,Bank of Baroda,BOB,BARBAEAD,BARBAEADXXX,BARBAEAD,Live
010,Bank Melli Iran,BMI,MELIAEAD,MELIAEADXXX,901020101,Live
410,Network International LLC,E410,E410AEXX,E410AEXXXXX,41010101,Live
086,Wio Bank PJSC,Wio Bank,WIOBAEAD,WIOBAEADXXX,808610001,Live
090,Bank of China,BOC,BKCHAEAA,BKCHAEAAXXX,202620103,Live
083,Aafaq Islamic Finance PSC,E083,E083AEXX,E083AEXXXXX,8310101,Live
082,Deem Finance,E082,E082AEXX,E082XXXXXXX,108210101,Live
022,Commercial Bank International PJSC,CBI,CLBIAEAD,CLBIAEADXXX,2220101,Live
258,Index Exchange LLC,E258,E258AEXX,E258AEXXXXX,25810101,Live
024,Dubai Islamic Bank,DIB,DUIBAEAD,DUIBAEADXXX,802420101,Live
053,Al Hilal Bank,HLAL,HLALAEAA,HLALAEAAXXX,105310101,Live
025,El Nilein Bank Abu Dhabi,NILB,NILBAEAA,NILBAEAAXXX,2510101,Live
094,BOK International,BOKM,BOKMAEAD,BOKMAEADXXX,209410101,Live
809,EMIRATES DEVELOPMENT BANK,EDB,EMDVAEAD,EMDVAEADXXX,680910101,Live
014,Banque Banorient France,BBF,BLOMAEAD,BLOMAEADXXX,1420151,Live
